;Anio;Trimestre;Banda ancha fija;Dial up;Total;id_provincia
549;2017;2;33194;2,0;33196;22
550;2017;2;31938;619,0;32557;23
551;2017;2;154374;37,0;154411;24
552;2017;1;3178174;11202,0;3189376;1
553;2017;1;1391030;8016,0;1399046;2
554;2017;1;26304;13,0;26317;3
555;2017;1;89036;14,0;89050;4
556;2017;1;62166;1730,0;63896;5
557;2017;1;641066;133,0;641199;7
558;2017;1;88596;12,0;88608;6
559;2017;1;180296;57,0;180353;8
560;2017;1;29705;0,0;29705;9
561;2017;1;43202;1,0;43203;10
562;2017;1;71458;455,0;71913;11
563;2017;1;16207;18,0;16225;12
564;2017;1;169282;1451,0;170733;13
565;2017;1;97619;0,0;97619;14
566;2017;1;113227;2112,0;115339;15
567;2017;1;100288;1000,0;101288;16
568;2017;1;107632;1,0;107633;17
569;2017;1;51253;620,0;51873;18
570;2017;1;12992;315,0;13307;19
571;2017;1;26116;370,0;26486;20
572;2017;1;562520;362,0;562882;21
573;2017;1;34473;2,0;34475;22
574;2017;1;31938;619,0;32557;23
575;2017;1;152734;37,0;152771;24
576;2016;4;3131499;11202,0;3142701;1
577;2016;4;1393443;8016,0;1401459;2
578;2016;4;27021;13,0;27034;3
579;2016;4;88833;14,0;88847;4
580;2016;4;62035;1730,0;63765;5
581;2016;4;636422;133,0;636555;7
582;2016;4;88084;12,0;88096;6
583;2016;4;180188;57,0;180245;8
584;2016;4;29513;0,0;29513;9
585;2016;4;42624;1,0;42625;10
586;2016;4;71368;460,0;71828;11
587;2016;4;16298;18,0;16316;12
588;2016;4;169274;1451,0;170725;13
589;2016;4;97390;0,0;97390;14
590;2016;4;111723;2112,0;113835;15
591;2016;4;100020;1000,0;101020;16
592;2016;4;106934;1,0;106935;17
593;2016;4;51301;620,0;51921;18
594;2016;4;12992;315,0;13307;19
595;2016;4;26094;370,0;26464;20
596;2016;4;561470;362,0;561832;21
597;2016;4;35049;2,0;35051;22
598;2016;4;31938;619,0;32557;23
599;2016;4;151615;37,0;151652;24
600;2016;3;3075387;11205,0;3086592;1
601;2016;3;1395053;8051,0;1403104;2
602;2016;3;26957;13,0;26970;3
603;2016;3;89216;14,0;89230;4
604;2016;3;62222;1730,0;63952;5
605;2016;3;642458;133,0;642591;7
606;2016;3;88328;12,0;88340;6
607;2016;3;181092;57,0;181149;8
608;2016;3;27716;0,0;27716;9
609;2016;3;42537;1,0;42538;10
610;2016;3;69903;461,0;70364;11
611;2016;3;16912;18,0;16930;12
612;2016;3;169174;1450,0;170624;13
613;2016;3;97997;0,0;97997;14
614;2016;3;110491;2112,0;112603;15
615;2016;3;100024;1002,0;101026;16
616;2016;3;107790;1,0;107791;17
617;2016;3;51348;620,0;51968;18
618;2016;3;12978;315,0;13293;19
619;2016;3;25886;371,0;26257;20
620;2016;3;566625;386,0;567011;21
621;2016;3;35658;2,0;35660;22
622;2016;3;31306;619,0;31925;23
623;2016;3;151282;37,0;151319;24
624;2016;2;3032776;12515,0;3045291;1
625;2016;2;1384824;9760,0;1394584;2
626;2016;2;26543;13,0;26556;3
627;2016;2;88235;16,0;88251;4
628;2016;2;62116;1740,0;63856;5
629;2016;2;634680;234,0;634914;7
630;2016;2;86932;24,0;86956;6
631;2016;2;178194;179,0;178373;8
632;2016;2;28801;1,0;28802;9
